0	128	0	0
8	108	8	4
-4	108	16	8
-8	108	32	-4
-8	108	44	-16
-16	108	44	-8
-16	84	64	-4
-16	84	64	-4
-32	84	84	-8
-4	64	84	-16
-4	64	84	-16
-8	44	108	-16
-16	44	108	-8
-4	32	108	-8
8	16	108	-4
4	8	108	8
0	128	0	0
32	64	32	0
32	64	32	0
32	64	32	0
32	64	32	0
16	64	32	16
16	64	32	16
16	64	32	16
32	44	44	8
16	32	64	16
16	32	64	16
16	32	64	16
0	32	64	32
0	32	64	32
0	32	64	32
0	32	64	32
0	128	0	0
4	108	8	8
-8	108	32	-4
-8	108	32	-4
-16	108	44	-8
-16	108	44	-8
-32	108	64	-16
-32	84	84	-8
-32	84	84	-8
-8	84	84	-32
-16	64	108	-32
-8	44	108	-16
-8	44	108	-16
-4	32	108	-8
-4	32	108	-8
8	8	108	4
0	128	0	0
0	108	20	0
0	108	20	0
0	108	20	0
0	108	20	0
0	84	44	0
0	84	44	0
0	84	44	0
0	64	64	0
0	44	84	0
0	44	84	0
0	44	84	0
0	20	108	0
0	20	108	0
0	20	108	0
0	20	108	0
0	128	0	0
8	108	8	4
2	108	16	2
-8	108	32	-4
-16	108	44	-8
-16	108	44	-8
-16	84	64	-4
-16	84	64	-4
-32	84	84	-8
-4	64	84	-16
-4	64	84	-16
-8	44	108	-16
-8	44	108	-16
-4	32	108	-8
2	16	108	2
4	8	108	8
0	128	0	0
32	64	32	0
32	64	32	0
16	64	44	4
16	64	44	4
16	64	44	4
16	64	44	4
16	64	44	4
32	44	44	8
4	44	64	16
4	44	64	16
4	44	64	16
4	44	64	16
4	44	64	16
0	32	64	32
0	32	64	32
