0	0	0	128	0	0	0	0
							
0	2	-4	108	16	4	2	0
							
0	4	-16	108	44	-16	4	0
							
0	2	-16	84	64	-8	2	0
							
0	4	-32	84	84	-16	4	0
							
0	2	-8	64	84	-16	2	0
							
0	4	-16	44	108	-16	4	0
							
0	2	4	16	108	-4	2	0
							
0	0	0	128	0	0	0	0
							
0	2	32	64	20	8	2	0
							
0	-2	32	64	32	4	-2	0
							
0	2	32	44	32	16	2	0
							
0	4	16	44	44	16	4	0
							
0	2	16	32	44	32	2	0
							
0	-2	4	32	64	32	-2	0
							
0	2	8	20	64	32	2	0
							
0	0	0	128	0	0	0	0
							
-2	4	-2	108	16	-2	4	2
							
-2	2	-16	108	44	-8	2	-2
							
-2	4	-32	108	64	-16	4	-2
							
-2	8	-32	84	84	-16	4	-2
							
-2	4	-16	64	108	-32	4	-2
							
-2	2	-8	44	108	-16	2	-2
							
2	4	-2	16	108	-2	4	-2
							
0	0	0	128	0	0	0	0
							
0	0	0	108	20	0	0	0
							
0	0	0	108	20	0	0	0
							
0	0	0	84	44	0	0	0
							
0	0	0	64	64	0	0	0
							
0	0	0	44	84	0	0	0
							
0	0	0	20	108	0	0	0
							
0	0	0	20	108	0	0	0
							
0	0	0	128	0	0	0	0
							
0	0	2	108	16	2	0	0
							
0	0	-16	108	44	-8	0	0
							
0	0	-16	84	64	-4	0	0
							
0	0	-32	84	84	-8	0	0
							
0	0	-4	64	84	-16	0	0
							
0	0	-8	44	108	-16	0	0
							
0	0	2	16	108	2	0	0
							
0	0	0	128	0	0	0	0
							
0	0	32	64	32	0	0	0
							
0	0	16	64	44	4	0	0
							
0	0	16	64	44	4	0	0
							
0	0	32	44	44	8	0	0
							
0	0	4	44	64	16	0	0
							
0	0	4	44	64	16	0	0
							
0	0	0	32	64	32	0	0
